,trip_id,uniqueid,qmodegrouping_Bike,qmodegrouping_Bus,qmodegrouping_Car,qmodegrouping_Commuter Rail,qmodegrouping_Ferry,qmodegrouping_For-Hire Vehicle,qmodegrouping_Other,qmodegrouping_Subway,qmodegrouping_Walk,qsustainablemode_No,qsustainablemode_Yes
5110,14202482,10202482,0,0,1,0,0,0,0,0,0,1,0
5111,14202502,10202502,0,0,1,0,0,0,0,0,0,1,0
5112,14202506,10202506,0,0,0,0,0,0,0,0,1,0,1
5113,14202510,10202510,0,0,1,0,0,0,0,0,0,1,0
5114,14202524,10202524,0,0,0,0,0,0,0,0,1,0,1
5116,14202542,10202542,0,0,0,0,0,0,0,0,1,0,1
5117,14202545,10202545,0,0,1,0,0,0,0,0,0,1,0
5118,14202599,10202599,0,0,0,0,0,0,0,0,1,0,1
5120,14202633,10202633,0,0,1,0,0,0,0,0,0,1,0
5121,14202649,10202649,0,0,1,0,0,0,0,0,0,1,0
5122,14202654,10202654,0,0,1,0,0,0,0,0,0,1,0
5123,14202666,10202666,0,0,0,0,0,0,0,1,0,0,1
5124,14202695,10202695,0,0,0,0,0,0,0,0,1,0,1
5125,14202702,10202702,0,0,1,0,0,0,0,0,0,1,0
5126,14202713,10202713,0,0,0,0,0,0,0,0,1,0,1
5127,14202723,10202723,0,0,1,0,0,0,0,0,0,1,0
5128,14202725,10202725,0,1,0,0,0,0,0,0,0,0,1
5129,14202733,10202733,0,0,1,0,0,0,0,0,0,1,0
5130,14202741,10202741,0,0,0,0,0,0,0,0,1,0,1
5131,14202752,10202752,0,0,0,0,0,0,0,0,1,0,1
5132,14202763,10202763,0,0,1,0,0,0,0,0,0,1,0
5133,14202801,10202801,0,0,1,0,0,0,0,0,0,1,0
5134,14202821,10202821,0,0,0,0,0,0,0,0,1,0,1
5135,14203028,10203028,0,0,0,0,0,0,0,0,1,0,1
5136,14203098,10203098,0,0,1,0,0,0,0,0,0,1,0
5137,14203158,10203158,0,0,0,0,0,0,0,0,1,0,1
5138,14203222,10203222,0,0,0,0,0,0,0,0,1,0,1
5139,14203298,10203298,0,0,0,0,0,0,0,0,1,0,1
5140,14203578,10203578,0,0,1,0,0,0,0,0,0,1,0
5141,14203583,10203583,0,0,1,0,0,0,0,0,0,1,0
5142,14203625,10203625,0,0,0,0,0,0,0,0,1,0,1
5143,14203628,10203628,0,0,0,0,0,0,0,0,1,0,1
5144,14203629,10203629,0,0,1,0,0,0,0,0,0,1,0
5145,14203630,10203630,0,0,0,0,0,0,0,0,1,0,1
5146,14203679,10203679,0,1,0,0,0,0,0,0,0,0,1
5147,14203714,10203714,0,1,0,0,0,0,0,0,0,0,1
5148,14203722,10203722,0,1,0,0,0,0,0,0,0,0,1
5149,14203723,10203723,0,0,1,0,0,0,0,0,0,1,0
5150,14203753,10203753,0,0,0,0,0,0,0,0,1,0,1
5151,14203755,10203755,0,0,1,0,0,0,0,0,0,1,0
5152,14203890,10203890,0,0,1,0,0,0,0,0,0,1,0
5153,14204022,10204022,0,0,1,0,0,0,0,0,0,1,0
5154,14204047,10204047,0,0,0,0,0,0,0,0,1,0,1
5155,14204115,10204115,0,0,1,0,0,0,0,0,0,1,0
5156,14204120,10204120,0,0,1,0,0,0,0,0,0,1,0
5157,14204123,10204123,0,0,0,0,0,0,0,0,1,0,1
5158,14204136,10204136,0,0,0,0,0,0,0,1,0,0,1
5159,14204177,10204177,0,0,0,0,0,0,0,0,1,0,1
5160,14204209,10204209,0,0,0,0,0,0,0,0,1,0,1
5161,14204250,10204250,0,0,0,0,0,0,0,0,1,0,1
5162,14204329,10204329,0,0,0,0,0,0,0,0,1,0,1
5163,14204397,10204397,0,0,0,0,0,0,0,1,0,0,1
5164,14204413,10204413,0,0,0,0,0,0,0,0,1,0,1
5165,14204421,10204421,0,0,0,0,0,0,0,0,1,0,1
5166,14204430,10204430,0,0,0,0,0,0,0,0,1,0,1
5167,14204462,10204462,0,0,0,0,0,0,0,0,1,0,1
5168,15101839,101839,0,1,0,0,0,0,0,0,0,0,1
5169,15200023,10200023,0,0,1,0,0,0,0,0,0,1,0
5170,15200054,10200054,0,0,0,0,0,0,0,0,1,0,1
5171,15200102,10200102,0,0,1,0,0,0,0,0,0,1,0
5172,15200123,10200123,0,0,1,0,0,0,0,0,0,1,0
5173,15200143,10200143,0,0,1,0,0,0,0,0,0,1,0
5174,15200166,10200166,0,0,1,0,0,0,0,0,0,1,0
5175,15200172,10200172,0,0,0,0,0,0,0,1,0,0,1
5176,15200175,10200175,0,1,0,0,0,0,0,0,0,0,1
